student_id,name,grade,subject,teacher,score,attendance_percentage,exam_date,gpa,status,remarks
1058,Student_58,9th,History,Teacher_7,71,95,2024-11-26,2.95,Pass,Good
1059,Student_59,11th,English,Teacher_15,62,62,2024-07-18,3.07,Pass,Average
1060,Student_60,9th,Computer Science,Teacher_23,79,83,2024-11-05,3.54,Pass,Excellent
1061,Student_61,11th,Computer Science,Teacher_14,92,76,2024-04-22,3.32,Pass,Excellent
1062,Student_62,11th,Science,Teacher_23,66,98,2025-01-09,2.82,Pass,Poor
1063,Student_63,9th,History,Teacher_19,88,85,2024-02-19,3.79,Pass,Excellent
1064,Student_64,9th,Chemistry,Teacher_22,77,63,2024-02-07,2.33,Pass,Excellent
1065,Student_65,11th,Science,Teacher_29,34,71,2024-12-18,3.99,Pass,Good
1066,Student_66,10th,Science,Teacher_24,77,60,2024-05-10,2.24,Pass,Excellent
1067,Student_67,12th,Mathematics,Teacher_20,32,80,2024-06-11,2.03,Pass,Good
1068,Student_68,9th,Physics,Teacher_29,76,78,2024-02-24,3.78,Fail,Good
1069,Student_69,12th,History,Teacher_24,91,80,2024-05-13,2.49,Pass,Good
1070,Student_70,10th,Science,Teacher_18,43,77,2024-03-06,3.46,Pass,Average
1071,Student_71,10th,Mathematics,Teacher_10,92,62,2024-07-27,3.62,Pass,Good
1072,Student_72,10th,Chemistry,Teacher_9,90,91,2024-06-05,3.72,Fail,Average
1073,Student_73,9th,English,Teacher_25,60,69,2024-09-03,3.98,Pass,Good
1074,Student_74,10th,Biology,Teacher_8,46,99,2024-12-05,2.59,Pass,Average
1075,Student_75,9th,Biology,Teacher_26,53,74,2024-07-19,3.42,Pass,Poor
1076,Student_76,10th,History,Teacher_30,52,64,2024-04-07,2.23,Pass,Poor
1077,Student_77,12th,Science,Teacher_29,79,63,2024-07-22,2.81,Pass,Average
1078,Student_78,12th,Biology,Teacher_10,99,87,2024-07-14,3.7,Fail,Poor
1079,Student_79,11th,Physics,Teacher_17,56,63,2024-05-01,2.74,Fail,Excellent
1080,Student_80,12th,Biology,Teacher_2,44,74,2024-12-23,3.18,Pass,Good
1081,Student_81,11th,Biology,Teacher_6,79,76,2024-05-30,3.01,Pass,Average
1082,Student_82,12th,Biology,Teacher_26,65,62,2025-01-08,3.29,Pass,Poor
1083,Student_83,9th,Computer Science,Teacher_5,37,69,2024-12-29,3.95,Pass,Poor
1084,Student_84,12th,Mathematics,Teacher_28,32,82,2024-12-11,2.11,Fail,Excellent
1085,Student_85,11th,Science,Teacher_30,91,77,2024-02-20,3.15,Pass,Good
1086,Student_86,11th,Physics,Teacher_9,76,60,2024-11-21,3.73,Pass,Excellent
1087,Student_87,10th,Science,Teacher_5,90,94,2024-12-05,2.96,Pass,Average
1088,Student_88,9th,Computer Science,Teacher_18,61,90,2024-04-11,2.16,Pass,Poor
1089,Student_89,12th,History,Teacher_26,42,60,2024-10-14,3.12,Pass,Poor
1090,Student_90,10th,History,Teacher_20,30,62,2024-05-19,2.66,Pass,Poor
1091,Student_91,12th,History,Teacher_9,63,62,2024-04-07,2.31,Pass,Excellent
1092,Student_92,12th,Chemistry,Teacher_17,91,96,2024-09-07,3.7,Pass,Excellent
1093,Student_93,10th,Biology,Teacher_27,60,78,2024-07-27,3.04,Fail,Good
1094,Student_94,10th,Chemistry,Teacher_17,93,88,2024-06-01,3.87,Pass,Average
1095,Student_95,10th,Mathematics,Teacher_12,54,84,2024-12-07,3.61,Pass,Good
1096,Student_96,10th,History,Teacher_7,67,92,2025-01-01,3.39,Pass,Good
1097,Student_97,10th,Computer Science,Teacher_27,43,95,2024-10-26,2.01,Pass,Poor
1098,Student_98,12th,Physics,Teacher_3,37,88,2024-05-06,2.86,Pass,Excellent
1099,Student_99,10th,Science,Teacher_10,83,85,2024-12-30,2.39,Pass,Average
1100,Student_100,9th,Biology,Teacher_2,31,63,2024-06-29,3.82,Pass,Good
1101,Student_101,11th,English,Teacher_25,85,73,2024-02-12,2.35,Pass,Average
1102,Student_102,10th,Physics,Teacher_3,90,86,2024-05-11,2.57,Pass,Poor
1103,Student_103,10th,Biology,Teacher_16,51,92,2024-01-31,3.03,Fail,Good
1104,Student_104,12th,Chemistry,Teacher_2,64,81,2024-06-24,2.53,Pass,Excellent
1105,Student_105,10th,Chemistry,Teacher_28,45,62,2024-08-07,2.42,Pass,Good
1106,Student_106,10th,Physics,Teacher_24,79,82,2024-05-31,3.2,Fail,Poor
1107,Student_107,10th,Chemistry,Teacher_10,72,80,2024-02-17,2.18,Pass,Good
1108,Student_108,12th,History,Teacher_6,46,82,2024-05-02,2.12,Pass,Poor
1109,Student_109,10th,Mathematics,Teacher_22,87,63,2024-10-31,2.74,Pass,Good
1110,Student_110,11th,Science,Teacher_26,31,80,2024-06-24,3.44,Pass,Average
1111,Student_111,12th,Mathematics,Teacher_11,33,96,2024-05-02,3.11,Pass,Excellent
1112,Student_112,11th,Biology,Teacher_23,68,90,2024-12-15,2.85,Pass,Poor
1113,Student_113,12th,Science,Teacher_7,35,80,2024-09-26,3.13,Pass,Average
1114,Student_114,10th,Computer Science,Teacher_27,98,85,2024-08-04,2.73,Pass,Poor
1115,Student_115,11th,Science,Teacher_29,98,94,2024-12-09,3.87,Pass,Good
1116,Student_116,12th,Mathematics,Teacher_15,49,97,2024-09-05,2.11,Pass,Poor
1117,Student_117,9th,Physics,Teacher_6,93,83,2024-03-28,3.35,Pass,Poor
1118,Student_118,10th,Science,Teacher_20,45,70,2024-05-29,3.78,Pass,Excellent
1119,Student_119,12th,Computer Science,Teacher_27,80,88,2024-03-26,3.61,Pass,Average
1120,Student_120,9th,Computer Science,Teacher_9,66,62,2024-05-20,2.37,Fail,Good
1121,Student_121,12th,Computer Science,Teacher_22,98,60,2024-10-28,2.59,Pass,Excellent
1122,Student_122,9th,Mathematics,Teacher_20,71,78,2024-10-16,3.43,Pass,Poor
1123,Student_123,10th,Science,Teacher_12,86,81,2024-05-28,2.17,Pass,Excellent
1124,Student_124,11th,English,Teacher_19,95,73,2024-11-09,3.62,Pass,Poor
1125,Student_125,9th,Physics,Teacher_20,38,73,2024-08-21,3.44,Fail,Good
1126,Student_126,12th,History,Teacher_3,93,75,2024-11-08,3.46,Pass,Poor
1127,Student_127,10th,Science,Teacher_15,51,92,2024-08-06,2.2,Pass,Excellent
1128,Student_128,9th,Computer Science,Teacher_2,63,72,2024-07-18,3.44,Pass,Excellent
1129,Student_129,12th,English,Teacher_30,84,97,2024-05-06,3.36,Fail,Poor
1130,Student_130,12th,History,Teacher_21,58,71,2024-03-25,3.66,Fail,Average
1131,Student_131,12th,History,Teacher_2,67,97,2024-10-01,2.08,Pass,Excellent
1132,Student_132,9th,Biology,Teacher_22,47,98,2024-09-23,2.05,Fail,Average
1133,Student_133,9th,Science,Teacher_3,94,92,2024-03-01,2.75,Pass,Average
1134,Student_134,9th,Mathematics,Teacher_6,30,92,2024-02-08,2.3,Pass,Average
1135,Student_135,11th,Science,Teacher_15,33,88,2024-03-11,3.12,Pass,Average
1136,Student_136,9th,English,Teacher_27,33,64,2024-04-02,3.83,Fail,Excellent
1137,Student_137,9th,History,Teacher_10,56,65,2024-12-01,2.78,Pass,Excellent
1138,Student_138,9th,Science,Teacher_9,72,90,2024-04-05,3.69,Pass,Average
1139,Student_139,11th,Mathematics,Teacher_1,88,75,2024-12-28,2.0,Pass,Excellent
1140,Student_140,9th,Biology,Teacher_16,61,90,2024-08-18,2.34,Pass,Average
1141,Student_141,12th,Science,Teacher_6,62,84,2024-11-15,2.06,Fail,Average
1142,Student_142,9th,Physics,Teacher_9,57,92,2024-02-16,2.66,Pass,Average
1143,Student_143,12th,Biology,Teacher_27,84,72,2024-07-30,3.82,Fail,Poor
1144,Student_144,12th,Mathematics,Teacher_4,89,69,2024-07-28,2.19,Fail,Good
1145,Student_145,12th,English,Teacher_27,99,83,2024-11-15,3.21,Pass,Excellent
1146,Student_146,11th,History,Teacher_28,91,69,2024-09-10,2.9,Pass,Excellent
1147,Student_147,11th,Science,Teacher_2,63,90,2024-10-11,3.88,Pass,Average
1148,Student_148,11th,Mathematics,Teacher_29,85,72,2024-05-22,2.25,Pass,Poor
1149,Student_149,9th,Biology,Teacher_4,42,62,2024-10-24,2.42,Pass,Poor
1150,Student_150,12th,Physics,Teacher_1,85,93,2024-01-20,2.06,Pass,Excellent
1151,Student_151,11th,Mathematics,Teacher_19,47,87,2024-12-28,2.87,Pass,Average
1152,Student_152,11th,Chemistry,Teacher_26,83,78,2024-03-13,2.56,Fail,Excellent
1153,Student_153,9th,Computer Science,Teacher_25,72,82,2024-12-29,3.74,Pass,Average
1154,Student_154,11th,Physics,Teacher_10,68,91,2024-10-15,3.21,Pass,Average
1155,Student_155,9th,Biology,Teacher_21,90,72,2024-05-30,3.23,Fail,Good
1156,Student_156,10th,English,Teacher_15,71,92,2024-12-08,3.06,Pass,Average
1157,Student_157,11th,History,Teacher_27,47,93,2024-07-07,2.18,Pass,Good
1158,Student_158,10th,Biology,Teacher_22,52,92,2024-03-12,2.89,Pass,Excellent
1159,Student_159,9th,Computer Science,Teacher_19,83,64,2024-06-13,4.0,Pass,Excellent
1160,Student_160,12th,English,Teacher_16,59,62,2024-08-24,3.67,Pass,Poor
1161,Student_161,11th,Science,Teacher_21,87,66,2024-04-04,3.79,Pass,Good
1162,Student_162,9th,Mathematics,Teacher_27,97,83,2024-09-03,3.65,Pass,Excellent
1163,Student_163,12th,Chemistry,Teacher_24,96,81,2024-01-16,2.21,Pass,Good
1164,Student_164,12th,Physics,Teacher_22,47,82,2024-05-28,2.45,Pass,Excellent
1165,Student_165,10th,Physics,Teacher_4,36,89,2024-09-27,2.01,Pass,Good
1166,Student_166,9th,Mathematics,Teacher_2,69,77,2024-04-15,2.61,Pass,Good
1167,Student_167,12th,Chemistry,Teacher_30,99,91,2024-09-30,2.22,Pass,Average
1168,Student_168,11th,Mathematics,Teacher_25,94,66,2024-03-09,2.95,Pass,Excellent
1169,Student_169,11th,Science,Teacher_13,97,92,2024-11-30,3.35,Pass,Poor
1170,Student_170,10th,Computer Science,Teacher_28,78,64,2024-06-15,3.75,Pass,Average
1171,Student_171,12th,English,Teacher_1,81,87,2024-12-07,3.5,Pass,Poor
1172,Student_172,9th,Biology,Teacher_17,58,67,2024-09-30,3.88,Pass,Good
1173,Student_173,11th,Physics,Teacher_13,50,74,2024-11-21,2.11,Pass,Average
1174,Student_174,12th,Science,Teacher_4,38,63,2024-04-25,2.02,Pass,Good
1175,Student_175,12th,English,Teacher_7,76,93,2024-04-02,3.32,Pass,Excellent
1176,Student_176,10th,Science,Teacher_17,71,64,2024-07-24,2.58,Pass,Excellent
1177,Student_177,11th,Chemistry,Teacher_9,80,92,2024-04-06,2.51,Pass,Poor
1178,Student_178,11th,Physics,Teacher_4,85,64,2024-10-17,2.66,Pass,Excellent
1179,Student_179,9th,Biology,Teacher_19,80,97,2024-10-12,2.54,Pass,Poor
1180,Student_180,11th,Mathematics,Teacher_1,99,93,2024-01-15,3.02,Fail,Good
1181,Student_181,9th,Mathematics,Teacher_10,49,85,2024-11-16,2.88,Pass,Average
1182,Student_182,11th,English,Teacher_4,56,60,2024-06-28,3.02,Pass,Excellent
1183,Student_183,10th,Biology,Teacher_9,67,63,2024-09-21,3.35,Pass,Good
1184,Student_184,11th,Computer Science,Teacher_13,94,98,2024-01-24,2.77,Pass,Average
1185,Student_185,9th,History,Teacher_14,83,85,2024-03-12,2.5,Pass,Good
1186,Student_186,9th,Chemistry,Teacher_10,53,92,2024-07-18,2.33,Pass,Poor
1187,Student_187,10th,English,Teacher_6,76,92,2024-06-20,2.7,Pass,Good
1188,Student_188,11th,History,Teacher_16,92,67,2024-05-16,3.48,Fail,Poor
1189,Student_189,11th,Science,Teacher_6,86,79,2024-02-13,3.51,Fail,Poor
1190,Student_190,10th,Chemistry,Teacher_17,84,75,2024-05-17,3.33,Pass,Excellent
1191,Student_191,11th,Science,Teacher_10,89,80,2024-10-31,2.47,Fail,Poor
1192,Student_192,11th,Computer Science,Teacher_18,91,85,2024-02-24,3.18,Pass,Poor
1193,Student_193,9th,Biology,Teacher_27,59,82,2024-02-27,3.14,Pass,Good
1194,Student_194,11th,Physics,Teacher_22,51,77,2024-09-19,2.97,Pass,Poor
1195,Student_195,11th,Chemistry,Teacher_18,58,90,2024-02-19,3.1,Pass,Poor
1196,Student_196,10th,History,Teacher_3,70,71,2024-10-13,2.98,Pass,Good
1197,Student_197,10th,Computer Science,Teacher_20,71,60,2024-03-19,3.13,Pass,Average
1198,Student_198,12th,Physics,Teacher_27,94,68,2024-03-20,3.43,Pass,Excellent
1199,Student_199,9th,Mathematics,Teacher_21,60,62,2024-12-17,2.22,Pass,Good
1200,Student_200,11th,History,Teacher_25,59,85,2024-09-14,3.5,Pass,Poor
1201,Student_201,11th,English,Teacher_28,47,68,2024-10-22,2.27,Pass,Good
1202,Student_202,12th,Mathematics,Teacher_15,46,75,2024-04-08,2.13,Pass,Average
1203,Student_203,11th,Computer Science,Teacher_15,67,83,2024-05-29,3.95,Fail,Good
1204,Student_204,9th,Mathematics,Teacher_4,43,73,2024-10-11,3.91,Pass,Good
1205,Student_205,12th,English,Teacher_29,85,62,2024-11-20,2.12,Pass,Good
1206,Student_206,9th,Chemistry,Teacher_27,51,93,2024-08-18,2.89,Fail,Good
1207,Student_207,12th,Mathematics,Teacher_9,96,92,2024-05-02,2.37,Pass,Poor
1208,Student_208,12th,Biology,Teacher_27,85,83,2024-10-17,2.97,Pass,Good
1209,Student_209,10th,History,Teacher_26,48,68,2025-01-02,3.66,Pass,Average
1210,Student_210,9th,Physics,Teacher_19,86,72,2024-04-26,3.9,Pass,Good
1211,Student_211,11th,Mathematics,Teacher_24,73,61,2025-01-14,3.27,Pass,Good
1212,Student_212,11th,History,Teacher_28,64,66,2024-06-22,2.71,Pass,Poor
1213,Student_213,9th,Science,Teacher_17,30,80,2024-08-06,3.21,Pass,Poor
1214,Student_214,11th,History,Teacher_11,81,78,2024-12-23,2.62,Pass,Good
1215,Student_215,11th,Physics,Teacher_25,99,84,2024-12-12,3.82,Fail,Poor
1216,Student_216,9th,History,Teacher_9,66,81,2024-07-24,3.74,Pass,Poor
1217,Student_217,12th,English,Teacher_10,94,70,2024-08-26,3.12,Fail,Good
1218,Student_218,9th,Computer Science,Teacher_18,80,92,2024-10-05,2.65,Fail,Poor
1219,Student_219,12th,Physics,Teacher_20,30,91,2024-09-02,2.59,Pass,Excellent
1220,Student_220,11th,Computer Science,Teacher_13,50,80,2024-03-16,2.07,Pass,Excellent
1221,Student_221,11th,Chemistry,Teacher_8,82,98,2024-05-20,3.63,Pass,Excellent
1222,Student_222,11th,Computer Science,Teacher_7,45,79,2024-05-09,2.9,Fail,Poor
1223,Student_223,10th,Science,Teacher_17,90,67,2024-02-16,2.65,Pass,Excellent
1224,Student_224,12th,English,Teacher_21,83,96,2024-07-06,2.94,Pass,Average
1225,Student_225,10th,Chemistry,Teacher_23,69,68,2024-01-25,3.64,Pass,Excellent
1226,Student_226,10th,History,Teacher_15,55,84,2024-11-11,2.25,Pass,Average
1227,Student_227,9th,Physics,Teacher_20,94,84,2024-10-24,3.72,Fail,Poor
1228,Student_228,10th,Science,Teacher_15,93,92,2024-05-11,3.8,Pass,Excellent
1229,Student_229,9th,English,Teacher_1,72,61,2024-11-11,3.89,Fail,Average
1230,Student_230,9th,Chemistry,Teacher_25,46,78,2024-05-06,2.79,Pass,Poor
1231,Student_231,10th,Chemistry,Teacher_14,88,79,2024-01-18,2.43,Pass,Excellent
1232,Student_232,12th,Science,Teacher_5,52,88,2024-02-20,2.75,Fail,Good
1233,Student_233,12th,Biology,Teacher_11,36,65,2025-01-11,2.67,Pass,Excellent
1234,Student_234,12th,History,Teacher_16,73,76,2024-12-03,2.35,Fail,Excellent
1235,Student_235,12th,Science,Teacher_2,82,84,2024-02-14,3.21,Pass,Excellent
1236,Student_236,12th,Chemistry,Teacher_8,63,97,2024-05-11,2.95,Pass,Good
1237,Student_237,10th,Mathematics,Teacher_11,75,63,2024-02-18,3.73,Pass,Average
1238,Student_238,10th,English,Teacher_29,97,89,2024-01-31,2.06,Fail,Average
1239,Student_239,11th,Science,Teacher_18,45,79,2024-07-02,3.29,Fail,Good
1240,Student_240,12th,Biology,Teacher_3,48,62,2024-02-20,3.53,Pass,Excellent
1241,Student_241,10th,Chemistry,Teacher_30,31,82,2024-10-04,3.52,Pass,Excellent
1242,Student_242,11th,History,Teacher_26,39,77,2024-05-15,3.77,Pass,Excellent
1243,Student_243,12th,Computer Science,Teacher_1,79,85,2024-06-05,3.46,Pass,Average
1244,Student_244,9th,Chemistry,Teacher_11,41,95,2024-12-22,3.86,Pass,Average
1245,Student_245,11th,History,Teacher_16,99,67,2024-09-19,2.67,Pass,Good
1246,Student_246,10th,Science,Teacher_18,51,76,2024-05-03,3.01,Fail,Poor
1247,Student_247,9th,History,Teacher_30,61,90,2024-10-17,2.03,Pass,Good
1248,Student_248,9th,Physics,Teacher_16,30,96,2024-03-22,2.01,Pass,Average
1249,Student_249,9th,Physics,Teacher_23,83,92,2024-11-02,2.48,Pass,Excellent
1250,Student_250,11th,Physics,Teacher_10,87,86,2024-11-05,2.2,Pass,Excellent
1251,Student_251,10th,Biology,Teacher_18,99,63,2024-09-13,2.52,Fail,Excellent
1252,Student_252,9th,Biology,Teacher_6,47,81,2024-05-18,2.35,Pass,Excellent
1253,Student_253,12th,Mathematics,Teacher_19,35,85,2024-09-13,2.06,Fail,Poor
1254,Student_254,9th,Biology,Teacher_4,74,91,2024-08-10,3.82,Fail,Good
1255,Student_255,9th,Computer Science,Teacher_27,52,83,2024-04-21,2.02,Pass,Good
1256,Student_256,11th,Science,Teacher_13,52,94,2024-03-03,3.47,Pass,Average
1257,Student_257,11th,Chemistry,Teacher_24,55,96,2024-03-04,2.3,Pass,Good
1258,Student_258,10th,Chemistry,Teacher_14,36,91,2024-12-17,3.82,Pass,Poor
1259,Student_259,12th,Mathematics,Teacher_3,73,66,2024-08-22,3.79,Pass,Poor
1260,Student_260,11th,Biology,Teacher_10,56,92,2024-07-14,3.31,Pass,Poor
1261,Student_261,9th,Computer Science,Teacher_6,55,90,2024-08-18,3.34,Pass,Excellent
1262,Student_262,10th,History,Teacher_1,65,71,2024-08-12,2.01,Pass,Average
1263,Student_263,9th,Mathematics,Teacher_23,84,70,2024-09-10,3.97,Pass,Poor
1264,Student_264,9th,Computer Science,Teacher_24,93,83,2024-02-11,3.76,Pass,Good
1265,Student_265,11th,History,Teacher_27,86,67,2024-12-24,3.79,Pass,Good
1266,Student_266,10th,Computer Science,Teacher_14,98,91,2024-12-14,3.32,Pass,Good
1267,Student_267,12th,History,Teacher_8,90,97,2024-12-10,2.69,Pass,Poor
1268,Student_268,12th,English,Teacher_19,31,81,2024-03-05,3.79,Pass,Poor
1269,Student_269,11th,Computer Science,Teacher_14,84,93,2024-02-15,2.58,Pass,Good
1270,Student_270,11th,Chemistry,Teacher_10,67,78,2024-08-08,3.13,Pass,Poor
1271,Student_271,10th,Physics,Teacher_17,58,79,2024-07-06,2.2,Pass,Good
1272,Student_272,12th,Biology,Teacher_9,55,73,2024-03-10,3.84,Pass,Excellent
1273,Student_273,12th,History,Teacher_29,64,92,2024-05-21,2.28,Pass,Poor
1274,Student_274,12th,English,Teacher_6,96,69,2024-04-22,2.45,Fail,Excellent
1275,Student_275,9th,Computer Science,Teacher_11,58,75,2024-04-21,3.12,Pass,Excellent
1276,Student_276,12th,Chemistry,Teacher_25,63,63,2024-10-15,3.53,Pass,Poor
1277,Student_277,9th,Physics,Teacher_7,70,86,2024-08-31,3.24,Pass,Good
1278,Student_278,10th,History,Teacher_17,70,87,2024-03-26,2.46,Pass,Average
1279,Student_279,9th,Computer Science,Teacher_28,52,75,2024-08-18,2.0,Pass,Excellent
1280,Student_280,10th,Computer Science,Teacher_28,32,92,2024-04-17,3.51,Fail,Poor
1281,Student_281,12th,History,Teacher_1,87,78,2024-06-05,3.97,Pass,Excellent
1282,Student_282,12th,Mathematics,Teacher_22,61,80,2024-09-07,3.62,Fail,Good
1283,Student_283,10th,Mathematics,Teacher_5,60,81,2024-05-21,2.92,Pass,Poor
1284,Student_284,11th,Chemistry,Teacher_9,72,68,2024-02-22,3.81,Fail,Average
1285,Student_285,10th,Physics,Teacher_18,36,68,2024-08-28,2.82,Pass,Poor
1286,Student_286,11th,History,Teacher_24,30,68,2024-10-22,3.05,Pass,Excellent
1287,Student_287,9th,Chemistry,Teacher_27,90,86,2024-03-05,2.95,Pass,Poor
1288,Student_288,9th,Chemistry,Teacher_21,43,76,2024-02-09,2.9,Pass,Poor
1289,Student_289,9th,Science,Teacher_2,81,67,2024-12-13,3.55,Pass,Excellent
1290,Student_290,12th,Computer Science,Teacher_29,35,75,2024-10-17,3.05,Pass,Average
1291,Student_291,9th,Biology,Teacher_26,39,77,2024-01-22,2.63,Pass,Good
1292,Student_292,11th,Computer Science,Teacher_11,59,92,2024-03-02,2.52,Pass,Poor
1293,Student_293,9th,Mathematics,Teacher_27,50,60,2024-05-15,2.08,Pass,Average
1294,Student_294,10th,Physics,Teacher_28,89,71,2024-04-09,3.17,Pass,Good
1295,Student_295,10th,Computer Science,Teacher_6,92,65,2024-08-10,2.46,Fail,Excellent
1296,Student_296,12th,History,Teacher_26,71,64,2024-09-19,2.3,Pass,Average
1297,Student_297,10th,Chemistry,Teacher_8,80,75,2024-09-17,3.31,Pass,Average
1298,Student_298,11th,History,Teacher_4,93,77,2024-05-03,3.36,Pass,Poor
1299,Student_299,9th,Science,Teacher_18,85,77,2024-08-07,3.5,Pass,Excellent
1300,Student_300,12th,Physics,Teacher_28,70,60,2024-02-14,3.01,Fail,Poor
1301,Student_301,9th,Chemistry,Teacher_11,61,78,2024-04-08,3.79,Pass,Excellent
1302,Student_302,9th,History,Teacher_5,44,67,2024-07-27,3.87,Pass,Good
1303,Student_303,11th,Mathematics,Teacher_15,91,62,2024-01-16,3.61,Fail,Poor
1304,Student_304,10th,Biology,Teacher_28,56,84,2024-08-01,3.27,Pass,Excellent
1305,Student_305,10th,Science,Teacher_18,57,64,2024-05-29,2.61,Pass,Excellent
1306,Student_306,9th,Physics,Teacher_2,93,99,2024-09-03,3.97,Fail,Average
1307,Student_307,12th,Science,Teacher_22,88,78,2024-06-09,2.55,Pass,Poor
1308,Student_308,10th,Mathematics,Teacher_11,87,77,2024-08-18,2.41,Pass,Poor
1309,Student_309,12th,Physics,Teacher_26,31,90,2025-01-05,2.88,Pass,Good
1310,Student_310,10th,Science,Teacher_25,65,92,2024-10-25,2.11,Pass,Excellent
